Image	Parameter	Assessment	exclude_seg	stuck_pixel	genotype	Comment
523			"18,43,37"		fca1	
524	6		"15,21,25"		fca1	4 is too many
525			"74,2,14,87"		fca1	
526			"6,8"		fca1	
527	4		"4,46,35,38"		fca1	
528					fca1	
529			"2,24,20"		fca1	
530	4		"8,32,35"		fca1	cell 45 shows more counts with K6 than k4!
531			7		fca1	
532					fca1	
533			"21,33,37"		fca1 DMSO 4h	
534	6		34		fca1 DMSO 4h	
535			"39,54,28"		fca1 DMSO 4h	
536			"4,42,43"		fca1 DMSO 4h	
537			"52,61"		fca1 DMSO 4h	
538			"34,51"		fca1 DMSO 4h	
539			"21,47,54,26"		fca1 DMSO 4h	
540	6		"17,35,33"		fca1 DMSO 4h	x
541			"6,8"		fca1 DMSO 4h	
542			"33,30,55,57,49,48"		fca1 DMSO 4h	
543			"32,38,36,43"		fca1 DMSO 4h	
544	6		"16,19"		fca1 DMSO 4h	x
545			"32,33,39,43,24,17,23,15,21"		fca3 ActD 4h	
546	6		"42,12,1"		fca3 ActD 4h	
547			"9,14,36,41,7,8,30,28,35,38"		fca3 ActD 4h	
548			"47,60,64,52,11,7"		fca3 ActD 4h	
549			"26,50,47,64,67,59,21,49,48"		fca3 ActD 4h	
550			"23,26,8,10"		fca3 ActD 4h	
551			"70,24"		fca3 ActD 4h	
552	6		"15,11,19,29,32,32,34,54,44,42,65,66,62,61"		fca3 ActD 4h	x
553			"35,6,58,68,18,23,22,7,5"		fca3 ActD 4h	
554			"16,12,58,25,24"		fca3 ActD 4h	
555			"49,50,33,15,38,55"		fca-3 DMSO 6h	
556			"28,27,26,3,19,13,11"		fca-3 DMSO 6h	
557	6		"17,21,48,28,19"		fca-3 DMSO 6h	hard to see signal
558			"25,19,54,51,55,58,61,66,71,65"		fca-3 DMSO 6h	
559			"36,38,29,46,48"		fca-3 DMSO 6h	
560			"13,20,31"		fca-3 DMSO 6h	
561			"5,11,15,20,29,28,41,55,60,"		fca-3 DMSO 6h	
562			"14,16,39,36"		fca-3 DMSO 6h	
563			"6,46,28,25,26,29"		fca-3 DMSO 6h	
564			"13,10"		fca-3 DMSO 6h	
565			"2,48,44,19,24,22,49,8,7"		fca-3 DMSO 6h	
566			"48,13,60,49,25"		fca-3 DMSO 6h	
567	6		"28,24,23,58,66,42,47"		fca-3 DMSO 6h	"x, not real signal?"
568			"3,4,11,5,46"		fca-3 DMSO 6h	
569			"2,22"		fca1 ActD 4h	
570	6		"8,34,28,22"		fca1 ActD 4h	
571			"25,37,52"		fca1 ActD 4h	
572			"41,29,15,25"		fca1 ActD 4h	
573			39		fca1 ActD 4h	
574			"56,42,41,30"		fca1 ActD 4h	
575			"42,47"		fca1 ActD 4h	
576	6		"31,41,32"		fca1 ActD 4h	
577			"36,23,30,27,59"		fca1 ActD 4h	
578			"59,54,55,60,58,23"		fca1 ActD 4h	
579			"13,72,73,71,33,39"		fca3	
580			"71,85,48,9,36,39,47,45,51,52,54"		fca3	
581	6		30		fca3	
582			"22,23,18,24,57,67,59,63,30,32,44"		fca3	
583			"11,12,45,26,33,48,50,16,15,9,13"		fca3	
584			"12,27,22,46,50,7"		fca3	
585			"9,26,24,14,6,4,2,11,15,35,25,33"		fca3	
586			"17,36,28,14,16"		fca3	
587			"14,10,7,35,40,16,13"		fca3	
588			"5,30,55,59,67,36,5"		fca3	
589			"12,13,52,53,58,60"		fca3	
590	6				fca3	x
591			26		fca3	
592			"29,28"		fca1 ActD 6h	
593	6		"40,36"		fca1 ActD 6h	
594			"16,48,56,42,69,59"		fca1 ActD 6h	
